product_id,category,stock_qty,units_sold_total,reorder_point,needs_restock,last_restock_date,warehouse_location
PROD0091,Home & Kitchen,46,120,18,0,25-04-2024,WH-D14
PROD0092,Home & Kitchen,61,155,23,0,31-05-2024,WH-A11
PROD0093,Home & Kitchen,8,132,19,1,22-06-2024,WH-D12
PROD0094,Home & Kitchen,16,99,14,0,03-05-2024,WH-D05
PROD0095,Home & Kitchen,35,126,18,0,14-04-2024,WH-B03
PROD0096,Home & Kitchen,54,148,22,0,22-04-2024,WH-B15
PROD0097,Home & Kitchen,28,128,19,0,23-04-2024,WH-B11
PROD0098,Home & Kitchen,1,97,14,1,03-06-2024,WH-D19
PROD0099,Home & Kitchen,17,121,18,1,04-04-2024,WH-A15
PROD0100,Home & Kitchen,5,119,17,1,20-05-2024,WH-C01
PROD0101,Home & Kitchen,13,136,20,1,28-05-2024,WH-C17
PROD0102,Home & Kitchen,0,0,10,1,26-05-2024,WH-C14
PROD0103,Home & Kitchen,0,134,20,1,19-04-2024,WH-A18
PROD0104,Home & Kitchen,28,116,17,0,29-06-2024,WH-D09
PROD0105,Home & Kitchen,34,157,23,0,26-06-2024,WH-B09
PROD0106,Home & Kitchen,59,153,22,0,11-05-2024,WH-D10
PROD0107,Home & Kitchen,0,119,17,1,14-04-2024,WH-A04
PROD0108,Home & Kitchen,33,116,17,0,03-04-2024,WH-D12
PROD0109,Home & Kitchen,10,131,19,1,15-05-2024,WH-B10
PROD0110,Home & Kitchen,45,135,20,0,12-05-2024,WH-B12
PROD0111,Home & Kitchen,29,113,16,0,27-04-2024,WH-C10
PROD0112,Home & Kitchen,6,144,21,1,08-04-2024,WH-B12
PROD0113,Home & Kitchen,9,88,13,1,10-04-2024,WH-A13
PROD0114,Home & Kitchen,31,115,17,0,04-06-2024,WH-B13
PROD0115,Home & Kitchen,22,124,18,0,06-05-2024,WH-A16
PROD0116,Home & Kitchen,32,117,17,0,11-06-2024,WH-B12
PROD0117,Home & Kitchen,39,120,18,0,26-06-2024,WH-D14
PROD0118,Home & Kitchen,49,136,20,0,28-04-2024,WH-C01
PROD0119,Home & Kitchen,6,131,19,1,14-04-2024,WH-A15
PROD0120,Home & Kitchen,0,0,10,1,26-06-2024,WH-D07
PROD0121,Home & Kitchen,21,118,17,0,19-05-2024,WH-C06
PROD0122,Home & Kitchen,0,0,10,1,02-06-2024,WH-D15
PROD0123,Home & Kitchen,12,96,14,1,18-05-2024,WH-B13
PROD0124,Home & Kitchen,0,0,10,1,22-05-2024,WH-A07
PROD0125,Home & Kitchen,0,0,10,1,11-06-2024,WH-B15
PROD0126,Home & Kitchen,0,0,10,1,06-04-2024,WH-C07
PROD0127,Home & Kitchen,9,130,19,1,04-06-2024,WH-A08
PROD0128,Home & Kitchen,21,101,15,0,23-05-2024,WH-C12
PROD0129,Home & Kitchen,5,119,17,1,18-06-2024,WH-A01
PROD0130,Home & Kitchen,5,123,18,1,04-04-2024,WH-A13
PROD0131,Beauty,35,98,14,0,05-06-2024,WH-A02
PROD0132,Beauty,46,122,18,0,18-05-2024,WH-B17
PROD0133,Beauty,25,144,21,0,08-06-2024,WH-C09
PROD0134,Beauty,0,0,10,1,07-05-2024,WH-D06
PROD0135,Beauty,32,157,23,0,25-04-2024,WH-A14
PROD0136,Beauty,38,138,20,0,10-04-2024,WH-D05
PROD0137,Beauty,4,122,18,1,25-05-2024,WH-D14
PROD0138,Beauty,46,126,18,0,31-05-2024,WH-B13
PROD0139,Beauty,0,0,10,1,17-06-2024,WH-D13
PROD0140,Beauty,0,0,10,1,12-04-2024,WH-A06
PROD0141,Beauty,31,109,16,0,20-06-2024,WH-D12
PROD0142,Beauty,20,109,16,0,14-05-2024,WH-C15
PROD0143,Beauty,11,132,19,1,22-06-2024,WH-A12
PROD0144,Beauty,17,107,16,0,02-04-2024,WH-A11
PROD0145,Beauty,57,151,22,0,04-06-2024,WH-C05
PROD0146,Beauty,37,106,15,0,15-04-2024,WH-A13
PROD0147,Beauty,6,142,21,1,29-04-2024,WH-C13
PROD0148,Beauty,19,144,21,1,04-06-2024,WH-C13
PROD0149,Beauty,13,97,14,1,15-06-2024,WH-C06
PROD0150,Beauty,3,130,19,1,18-06-2024,WH-B12
PROD0151,Beauty,13,137,20,1,08-05-2024,WH-A19
PROD0152,Beauty,37,97,14,0,17-06-2024,WH-B12
PROD0153,Beauty,35,123,18,0,21-06-2024,WH-D19
PROD0154,Beauty,51,132,19,0,25-04-2024,WH-D12
PROD0155,Beauty,36,117,17,0,03-05-2024,WH-C19
PROD0156,Beauty,9,125,18,1,05-06-2024,WH-D15
PROD0157,Beauty,35,142,21,0,27-05-2024,WH-C01
PROD0158,Beauty,29,151,22,0,15-05-2024,WH-A13
PROD0159,Beauty,26,128,19,0,18-06-2024,WH-A04
PROD0160,Beauty,15,149,22,1,15-06-2024,WH-D09
PROD0161,Sports,38,117,17,0,19-04-2024,WH-D15
PROD0162,Sports,31,95,14,0,16-04-2024,WH-C11
PROD0163,Sports,35,126,18,0,15-04-2024,WH-A04
PROD0164,Sports,3,124,18,1,02-04-2024,WH-A07
PROD0165,Sports,27,157,23,0,31-05-2024,WH-C19
PROD0166,Sports,14,144,21,1,07-06-2024,WH-C17
PROD0167,Sports,37,122,18,0,10-04-2024,WH-C03
PROD0168,Sports,0,141,21,1,19-05-2024,WH-B13
PROD0169,Sports,52,139,20,0,11-05-2024,WH-B10
PROD0170,Sports,0,0,10,1,04-04-2024,WH-A14
PROD0171,Sports,12,123,18,1,14-06-2024,WH-D09
PROD0172,Sports,55,151,22,0,27-06-2024,WH-D16
PROD0173,Sports,20,117,17,0,19-06-2024,WH-A19
PROD0174,Sports,13,124,18,1,28-04-2024,WH-C11
PROD0175,Sports,32,107,16,0,30-05-2024,WH-A04
PROD0176,Sports,15,153,22,1,02-05-2024,WH-B10
PROD0177,Sports,2,144,21,1,19-06-2024,WH-A08
PROD0178,Sports,44,133,19,0,23-05-2024,WH-B19
PROD0179,Sports,33,97,14,0,07-04-2024,WH-B15
PROD0180,Sports,11,132,19,1,19-04-2024,WH-B17
PROD0181,Sports,29,131,19,0,08-06-2024,WH-B17
PROD0182,Sports,31,131,19,0,25-06-2024,WH-C13
PROD0183,Sports,47,141,21,0,16-05-2024,WH-B17
PROD0184,Sports,36,111,16,0,06-04-2024,WH-D15
PROD0185,Sports,7,125,18,1,03-04-2024,WH-D08
PROD0186,Books,30,118,17,0,21-05-2024,WH-C03
PROD0187,Books,0,0,10,1,15-04-2024,WH-D12
PROD0188,Books,39,121,18,0,20-05-2024,WH-C11
PROD0189,Books,5,117,17,1,11-04-2024,WH-D14
PROD0190,Books,13,117,17,1,03-06-2024,WH-A03
PROD0191,Books,11,98,14,1,06-04-2024,WH-C16
PROD0192,Books,9,134,20,1,07-06-2024,WH-D02
PROD0193,Books,23,81,12,0,05-04-2024,WH-B07
PROD0194,Books,11,122,18,1,29-04-2024,WH-B19
PROD0195,Books,38,119,17,0,17-06-2024,WH-B11
PROD0196,Books,49,146,21,0,10-06-2024,WH-B08
PROD0197,Books,1,126,18,1,07-06-2024,WH-A19
PROD0198,Books,26,123,18,0,20-05-2024,WH-D18
PROD0199,Books,4,128,19,1,24-06-2024,WH-B02
PROD0200,Books,25,95,14,0,16-05-2024,WH-B14
