product_id,category,stock_qty,reorder_point,needs_restock,units_sold_total,warehouse_location
PROD0047,Clothing,0,10,1,0,WH-D09
PROD0048,Clothing,5,17,1,114,WH-D12
PROD0049,Clothing,10,21,1,144,WH-B17
PROD0050,Clothing,45,18,0,120,WH-B18
PROD0051,Clothing,37,19,0,132,WH-C15
PROD0052,Clothing,18,17,0,115,WH-D02
PROD0053,Clothing,47,20,0,135,WH-B13
PROD0054,Clothing,58,22,0,152,WH-D04
PROD0055,Clothing,15,15,0,101,WH-C19
PROD0056,Clothing,36,26,0,175,WH-D04
PROD0057,Clothing,13,14,1,97,WH-C05
PROD0058,Clothing,27,23,0,154,WH-B10
PROD0059,Clothing,19,22,1,147,WH-D05
PROD0060,Clothing,45,18,0,124,WH-B06
PROD0061,Clothing,39,17,0,114,WH-C13
PROD0062,Clothing,49,20,0,138,WH-A05
PROD0063,Clothing,28,17,0,118,WH-D09
PROD0064,Clothing,10,20,1,136,WH-B03
PROD0065,Clothing,24,17,0,116,WH-D07
PROD0066,Clothing,41,19,0,133,WH-B17
PROD0067,Clothing,42,21,0,142,WH-C05
PROD0068,Clothing,35,16,0,109,WH-C17
PROD0069,Clothing,0,10,1,0,WH-B17
PROD0070,Clothing,1,16,1,108,WH-C18
PROD0071,Clothing,4,24,1,164,WH-D07
PROD0072,Clothing,15,16,1,107,WH-D14
PROD0073,Clothing,14,16,1,111,WH-B03
PROD0074,Clothing,0,10,1,0,WH-D09
PROD0075,Clothing,61,23,0,157,WH-D13
PROD0076,Clothing,32,18,0,120,WH-B04
PROD0077,Clothing,24,20,0,138,WH-A13
PROD0078,Clothing,42,17,0,115,WH-D03
PROD0079,Clothing,10,15,1,105,WH-D17
PROD0080,Clothing,29,14,0,95,WH-D04
PROD0081,Clothing,35,19,0,131,WH-B12
PROD0082,Clothing,35,21,0,143,WH-C12
PROD0083,Clothing,24,20,0,136,WH-C05
PROD0084,Clothing,15,19,1,130,WH-A18
PROD0085,Clothing,35,17,0,119,WH-C05
PROD0086,Clothing,0,10,1,0,WH-D15
PROD0087,Clothing,24,17,0,115,WH-B14
PROD0088,Clothing,36,18,0,121,WH-A11
PROD0089,Clothing,0,10,1,0,WH-D09
PROD0090,Clothing,10,24,1,165,WH-D13
PROD0091,Home & Kitchen,46,18,0,120,WH-D14
PROD0092,Home & Kitchen,61,23,0,155,WH-A11
PROD0093,Home & Kitchen,8,19,1,132,WH-D12
PROD0094,Home & Kitchen,16,14,0,99,WH-D05
PROD0095,Home & Kitchen,35,18,0,126,WH-B03
PROD0096,Home & Kitchen,54,22,0,148,WH-B15
PROD0097,Home & Kitchen,28,19,0,128,WH-B11
PROD0098,Home & Kitchen,1,14,1,97,WH-D19
PROD0099,Home & Kitchen,17,18,1,121,WH-A15
PROD0100,Home & Kitchen,5,17,1,119,WH-C01
PROD0101,Home & Kitchen,13,20,1,136,WH-C17
PROD0102,Home & Kitchen,0,10,1,0,WH-C14
PROD0103,Home & Kitchen,0,20,1,134,WH-A18
PROD0104,Home & Kitchen,28,17,0,116,WH-D09
PROD0105,Home & Kitchen,34,23,0,157,WH-B09
PROD0106,Home & Kitchen,59,22,0,153,WH-D10
PROD0107,Home & Kitchen,0,17,1,119,WH-A04
PROD0108,Home & Kitchen,33,17,0,116,WH-D12
PROD0109,Home & Kitchen,10,19,1,131,WH-B10
PROD0110,Home & Kitchen,45,20,0,135,WH-B12
PROD0111,Home & Kitchen,29,16,0,113,WH-C10
PROD0112,Home & Kitchen,6,21,1,144,WH-B12
PROD0113,Home & Kitchen,9,13,1,88,WH-A13
PROD0114,Home & Kitchen,31,17,0,115,WH-B13
PROD0115,Home & Kitchen,22,18,0,124,WH-A16
PROD0116,Home & Kitchen,32,17,0,117,WH-B12
PROD0117,Home & Kitchen,39,18,0,120,WH-D14
PROD0118,Home & Kitchen,49,20,0,136,WH-C01
PROD0119,Home & Kitchen,6,19,1,131,WH-A15
PROD0120,Home & Kitchen,0,10,1,0,WH-D07
PROD0121,Home & Kitchen,21,17,0,118,WH-C06
PROD0122,Home & Kitchen,0,10,1,0,WH-D15
PROD0123,Home & Kitchen,12,14,1,96,WH-B13
PROD0124,Home & Kitchen,0,10,1,0,WH-A07
PROD0125,Home & Kitchen,0,10,1,0,WH-B15
PROD0126,Home & Kitchen,0,10,1,0,WH-C07
PROD0127,Home & Kitchen,9,19,1,130,WH-A08
PROD0128,Home & Kitchen,21,15,0,101,WH-C12
PROD0129,Home & Kitchen,5,17,1,119,WH-A01
PROD0130,Home & Kitchen,5,18,1,123,WH-A13
PROD0131,Beauty,35,14,0,98,WH-A02
PROD0132,Beauty,46,18,0,122,WH-B17
PROD0133,Beauty,25,21,0,144,WH-C09
PROD0134,Beauty,0,10,1,0,WH-D06
PROD0135,Beauty,32,23,0,157,WH-A14
PROD0136,Beauty,38,20,0,138,WH-D05
PROD0137,Beauty,4,18,1,122,WH-D14
PROD0138,Beauty,46,18,0,126,WH-B13
PROD0139,Beauty,0,10,1,0,WH-D13
PROD0140,Beauty,0,10,1,0,WH-A06
PROD0141,Beauty,31,16,0,109,WH-D12
PROD0142,Beauty,20,16,0,109,WH-C15
PROD0143,Beauty,11,19,1,132,WH-A12
PROD0144,Beauty,17,16,0,107,WH-A11
PROD0145,Beauty,57,22,0,151,WH-C05
PROD0146,Beauty,37,15,0,106,WH-A13
PROD0147,Beauty,6,21,1,142,WH-C13
PROD0148,Beauty,19,21,1,144,WH-C13
PROD0149,Beauty,13,14,1,97,WH-C06
PROD0150,Beauty,3,19,1,130,WH-B12
PROD0151,Beauty,13,20,1,137,WH-A19
PROD0152,Beauty,37,14,0,97,WH-B12
PROD0153,Beauty,35,18,0,123,WH-D19
PROD0154,Beauty,51,19,0,132,WH-D12
PROD0155,Beauty,36,17,0,117,WH-C19
PROD0156,Beauty,9,18,1,125,WH-D15
PROD0157,Beauty,35,21,0,142,WH-C01
PROD0158,Beauty,29,22,0,151,WH-A13
PROD0159,Beauty,26,19,0,128,WH-A04
PROD0160,Beauty,15,22,1,149,WH-D09
PROD0161,Sports,38,17,0,117,WH-D15
PROD0162,Sports,31,14,0,95,WH-C11
PROD0163,Sports,35,18,0,126,WH-A04
PROD0164,Sports,3,18,1,124,WH-A07
PROD0165,Sports,27,23,0,157,WH-C19
PROD0166,Sports,14,21,1,144,WH-C17
PROD0167,Sports,37,18,0,122,WH-C03
PROD0168,Sports,0,21,1,141,WH-B13
PROD0169,Sports,52,20,0,139,WH-B10
PROD0170,Sports,0,10,1,0,WH-A14
PROD0171,Sports,12,18,1,123,WH-D09
PROD0172,Sports,55,22,0,151,WH-D16
PROD0173,Sports,20,17,0,117,WH-A19
PROD0174,Sports,13,18,1,124,WH-C11
PROD0175,Sports,32,16,0,107,WH-A04
PROD0176,Sports,15,22,1,153,WH-B10
PROD0177,Sports,2,21,1,144,WH-A08
PROD0178,Sports,44,19,0,133,WH-B19
PROD0179,Sports,33,14,0,97,WH-B15
PROD0180,Sports,11,19,1,132,WH-B17
PROD0181,Sports,29,19,0,131,WH-B17
PROD0182,Sports,31,19,0,131,WH-C13
PROD0183,Sports,47,21,0,141,WH-B17
PROD0184,Sports,36,16,0,111,WH-D15
PROD0185,Sports,7,18,1,125,WH-D08
PROD0186,Books,30,17,0,118,WH-C03
PROD0187,Books,0,10,1,0,WH-D12
PROD0188,Books,39,18,0,121,WH-C11
PROD0189,Books,5,17,1,117,WH-D14
PROD0190,Books,13,17,1,117,WH-A03
PROD0191,Books,11,14,1,98,WH-C16
PROD0192,Books,9,20,1,134,WH-D02
PROD0193,Books,23,12,0,81,WH-B07
PROD0194,Books,11,18,1,122,WH-B19
PROD0195,Books,38,17,0,119,WH-B11
PROD0196,Books,49,21,0,146,WH-B08
PROD0197,Books,1,18,1,126,WH-A19
PROD0198,Books,26,18,0,123,WH-D18
PROD0199,Books,4,19,1,128,WH-B02
PROD0200,Books,25,14,0,95,WH-B14
