category,product_id,units_sold,revenue,avg_margin_pct
Clothing,PROD0070,90,129934.11,50.3
Clothing,PROD0061,89,126068.89,31.3
Beauty,PROD0152,73,125311.11,26.2
Beauty,PROD0135,98,125120.97,53.4
Clothing,PROD0042,106,122803.88,47.1
Books,PROD0188,93,115184.91,46.9
Clothing,PROD0076,77,110908.25,34.3
Clothing,PROD0065,61,110655.35,35.3
Books,PROD0199,90,108038.79,44.4
Home & Kitchen,PROD0101,113,106870.84,47.1
Sports,PROD0172,109,104084.2,32.8
Beauty,PROD0141,74,104007.99,55.0
Books,PROD0190,89,103997.21,49.1
Sports,PROD0176,114,102687.48,55.3
Books,PROD0186,79,100418.28,38.4
Beauty,PROD0132,89,97839.44,32.0
Clothing,PROD0072,73,97249.62,52.5
Books,PROD0191,69,95263.34,48.0
Beauty,PROD0138,67,92667.2,42.5
Clothing,PROD0090,111,90182.48,35.0
Electronics,PROD0023,60,87153.32,27.9
Clothing,PROD0062,82,86709.72,55.4
Books,PROD0192,100,82174.01,51.6
Books,PROD0189,96,80142.06,48.5
Clothing,PROD0088,80,78658.08,29.3
Sports,PROD0162,63,77454.29,51.0
Sports,PROD0163,90,76646.59,59.8
Beauty,PROD0160,103,71777.71,29.2
Beauty,PROD0144,84,70773.46,54.3
Books,PROD0196,96,68668.52,33.1
Books,PROD0198,78,64933.53,45.4
Clothing,PROD0068,81,63414.08,41.7
Beauty,PROD0137,85,61835.29,49.2
Home & Kitchen,PROD0112,74,61375.47,26.1
Electronics,PROD0030,86,59027.73,34.5
Home & Kitchen,PROD0129,72,57270.91,31.4
Home & Kitchen,PROD0106,125,55715.33,37.4
Clothing,PROD0084,74,55094.27,45.1
Clothing,PROD0049,92,47291.09,42.4
Clothing,PROD0057,64,43596.02,30.8
Books,PROD0197,90,41782.37,53.4
Beauty,PROD0159,76,41192.45,44.4
Books,PROD0195,97,39540.01,38.5
Beauty,PROD0143,110,38610.18,50.1
Beauty,PROD0151,117,38602.22,33.9
Books,PROD0200,67,33435.47,46.0
Books,PROD0193,53,31251.36,43.1
Beauty,PROD0142,66,30994.18,47.6
Home & Kitchen,PROD0121,78,28903.48,30.4
Beauty,PROD0156,83,28495.37,57.6
Clothing,PROD0073,73,23640.55,32.9
Books,PROD0194,83,18061.39,45.2
Home & Kitchen,PROD0110,84,17938.22,42.4
